Ranking,Team,3PA,FT%,PPG,RPG,APG,SPG,BPG,TOV,PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Akron,22.2,0.687,71.2,33.9,11.9,5.9,3.3,11.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Alabama,30.1,0.73,80,38.3,14.6,7,4.7,14.6,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arizona,21.9,0.738,84.6,40.2,19.9,6.7,5.7,13.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arkansas,20.8,0.753,76.9,36.8,14.1,7.7,4.2,12.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Auburn,25.4,0.733,78.7,38.9,14.6,8.8,7.9,12.1,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Baylor,23,0.698,76.5,36.2,15.8,8.8,3.4,12.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boise State,21.2,0.649,68.7,33.8,11.5,5.9,3.5,12.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bryant,27.2,0.733,77.9,39.5,14.1,6.3,4.5,13.9,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chattanooga,23.1,0.752,74.8,34.2,13,7.2,2.2,11,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Colgate,24.5,0.695,76.1,35,17.1,6.2,3.7,11.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Colorado State,21.3,0.774,73.7,31.3,14.2,6.3,3.2,10,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Creighton,21.8,0.729,69,36.8,13.2,5.4,4.4,14.1,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CSU Fullerton,16.7,0.763,70.3,32.4,11.3,7.3,2,12.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Davidson,22.8,0.757,75.6,33.4,14.7,4.7,2.6,9.8,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Delaware,21.5,0.743,73.8,31.7,12.7,6.6,3.7,12.6,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Duke,22.2,0.729,80.2,37.1,16.9,6.5,5.5,10.2,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Georgia State,23.4,0.717,70.6,36.3,13.5,8.9,4.5,11.9,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gonzaga,22.1,0.73,87.8,40.1,18.2,6.7,5.8,11.7,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Houston,23.5,0.67,75.8,37.9,16.7,8.2,5.2,11.4,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Illinois,25.1,0.708,75.8,37.3,15.4,5.2,3,12.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Indiana,17.9,0.696,71.3,34.7,14.8,5.6,4.9,11.8,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
